Date,Sl MLC Base,Sl MLC 10%,Sl MLC 20%,Sl MLC 50%,Sl DTC,Sf MLC Base,Sf MLC 10%,Sf MLC 20%,Sf MLC 50%,Sf DTC
2018-03-04,3740,1019,654,228,1847,3874,707,411,106,1463
2018-03-09,5054,865,529,126,2750,4059,940,572,162,2290
2018-03-14,3926,148,54,4,1256,3220,467,158,49,430
2018-03-19,3052,376,215,74,1342,5520,872,312,38,1357
2019-01-08,4467,1115,710,263,2289,10047,42,14,1,3287
2019-01-28,4307,645,415,10,2002,2861,314,134,18,501
2019-02-12,3525,386,221,62,1417,5965,558,149,12,1107
2019-03-04,4003,764,456,155,1682,1893,384,208,63,397
2019-03-09,4416,900,572,195,2083,6288,1959,1325,689,1847
2019-03-14,4891,1375,946,373,2598,4397,1780,1356,728,2035
2019-03-19,4693,422,234,42,1461,4444,485,264,97,328
2019-05-08,4764,651,364,97,1573,9948,1238,666,278,803
2019-05-13,4813,223,113,29,1004,6792,686,369,140,375
2019-05-18,4290,709,410,102,1850,8128,1505,809,289,1029
2019-05-23,3633,688,415,148,1379,7666,926,424,158,663
2019-08-21,3944,1064,630,184,1637,5938,325,75,21,283
2019-11-29,2827,653,363,70,1590,4928,299,144,39,846
