,Lb,Ls,Sf,Sl,Vm,Vo,Wd,Ws,Classified,UA,F1-score,classifier
Lb,67.0,3.0,-,-,-,-,-,-,70.0,0.96,0.98,DTC
Ls,-,104.0,-,-,-,3.0,-,-,107.0,0.97,0.97,DTC
Sf,-,-,122.0,7.0,3.0,1.0,-,2.0,135.0,0.9,0.91,DTC
Sl,-,-,-,26.0,-,1.0,-,-,27.0,0.96,0.83,DTC
Vm,-,-,10.0,3.0,112.0,8.0,1.0,1.0,135.0,0.83,0.9,DTC
Vo,-,-,-,-,-,85.0,-,-,85.0,1.0,0.93,DTC
Wd,-,-,-,-,-,-,131.0,-,131.0,1.0,0.93,DTC
Ws,-,-,-,-,-,-,19.0,116.0,135.0,0.86,0.91,DTC
Observed,67.0,107.0,132.0,36.0,115.0,98.0,151.0,119.0,825.0,-,-,DTC
PA,1.0,0.97,0.92,0.72,0.97,0.87,0.87,0.97,-,0.92 (OA),0.91 (Kappa),DTC
Lb,70.0,-,-,-,-,-,-,-,70.0,1.0,1.0,MLC base
Ls,-,105.0,-,-,-,2.0,-,-,107.0,0.98,0.99,MLC base
Sf,-,-,127.0,2.0,6.0,-,-,-,135.0,0.94,0.93,MLC base
Sl,-,-,-,25.0,1.0,1.0,-,-,27.0,0.93,0.93,MLC base
Vm,-,-,10.0,-,120.0,4.0,-,1.0,135.0,0.89,0.92,MLC base
Vo,-,-,-,-,-,85.0,-,-,85.0,1.0,0.96,MLC base
Wd,-,-,-,-,-,-,131.0,-,131.0,1.0,0.94,MLC base
Ws,-,-,-,-,-,-,16.0,119.0,135.0,0.88,0.93,MLC base
Observed,70.0,105.0,137.0,27.0,127.0,92.0,147.0,120.0,825.0,-,-,MLC base
PA,1.0,1.0,0.93,0.93,0.94,0.92,0.89,0.99,-,0.95 (OA),0.94 (Kappa),MLC base
Lb,54.0,-,-,-,-,-,-,-,54.0,1.0,1.0,MLC 10%
Ls,-,97.0,-,-,-,1.0,-,-,98.0,0.99,0.99,MLC 10%
Sf,-,-,120.0,-,6.0,-,-,-,126.0,0.95,0.95,MLC 10%
Sl,-,-,-,24.0,-,1.0,-,-,25.0,0.96,0.98,MLC 10%
Vm,-,-,7.0,-,117.0,3.0,-,-,127.0,0.92,0.94,MLC 10%
Vo,-,-,-,-,-,74.0,-,-,74.0,1.0,0.97,MLC 10%
Wd,-,-,-,-,-,-,122.0,-,122.0,1.0,0.95,MLC 10%
Ws,-,-,-,-,-,-,13.0,105.0,118.0,0.89,0.94,MLC 10%
Observed,54.0,97.0,127.0,24.0,123.0,79.0,135.0,105.0,744.0,-,-,MLC 10%
PA,1.0,1.0,0.94,1.0,0.95,0.94,0.9,1.0,-,0.96 (OA),0.95 (Kappa),MLC 10%
Lb,50.0,-,-,-,-,-,-,-,50.0,1.0,1.0,MLC 20%
Ls,-,84.0,-,-,-,1.0,-,-,85.0,0.99,0.99,MLC 20%
Sf,-,-,113.0,-,6.0,-,-,-,119.0,0.95,0.95,MLC 20%
Sl,-,-,-,22.0,-,1.0,-,-,23.0,0.96,0.98,MLC 20%
Vm,-,-,6.0,-,112.0,1.0,-,-,119.0,0.94,0.95,MLC 20%
Vo,-,-,-,-,-,72.0,-,-,72.0,1.0,0.98,MLC 20%
Wd,-,-,-,-,-,-,115.0,-,115.0,1.0,0.95,MLC 20%
Ws,-,-,-,-,-,-,12.0,98.0,110.0,0.89,0.94,MLC 20%
Observed,50.0,84.0,119.0,22.0,118.0,75.0,127.0,98.0,693.0,-,-,MLC 20%
PA,1.0,1.0,0.95,1.0,0.95,0.96,0.91,1.0,-,0.96 (OA),0.95 (Kappa),MLC 20%
Lb,40.0,-,-,-,-,-,-,-,40.0,1.0,1.0,MLC 50%
Ls,-,65.0,-,-,-,-,-,-,65.0,1.0,1.0,MLC 50%
Sf,-,-,83.0,-,-,-,-,-,83.0,1.0,0.99,MLC 50%
Sl,-,-,-,12.0,-,1.0,-,-,13.0,0.92,0.96,MLC 50%
Vm,-,-,1.0,-,102.0,1.0,-,-,104.0,0.98,0.99,MLC 50%
Vo,-,-,-,-,-,51.0,-,-,51.0,1.0,0.98,MLC 50%
Wd,-,-,-,-,-,-,79.0,-,79.0,1.0,0.96,MLC 50%
Ws,-,-,-,-,-,-,7.0,84.0,91.0,0.92,0.96,MLC 50%
Observed,40.0,65.0,84.0,12.0,102.0,53.0,86.0,84.0,526.0,-,-,MLC 50%
PA,1.0,1.0,0.99,1.0,1.0,0.96,0.92,1.0,-,0.98 (OA),0.98 (Kappa),MLC 50%
