,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,subset,variance
PC1,0.099,0.185,0.17,0.397,0.438,0.457,0.429,0.412,0.103,0.069,T19PEP_20180304_A,0.8431
PC2,0.623,0.466,0.382,0.016,-0.141,-0.247,0.036,-0.242,0.299,0.136,T19PEP_20180304_A,0.0941
PC3,-0.227,-0.109,0.244,0.105,0.104,0.098,-0.646,0.165,0.481,0.411,T19PEP_20180304_A,0.0412
PC4,-0.594,0.2,0.435,0.306,0.087,-0.169,0.112,-0.404,0.064,-0.33,T19PEP_20180304_A,0.0115
PC5,-0.426,0.274,-0.078,-0.356,-0.299,-0.117,0.461,0.188,0.233,0.453,T19PEP_20180304_A,0.0047
PC1,0.073,0.182,0.148,0.393,0.442,0.465,0.441,0.417,0.052,0.044,T19PEP_20180304_B,0.8878
PC2,0.752,0.444,0.311,0.02,-0.083,-0.131,-0.138,-0.123,0.219,0.187,T19PEP_20180304_B,0.0808
PC3,-0.378,-0.082,0.192,-0.047,-0.059,-0.061,0.003,0.06,0.623,0.642,T19PEP_20180304_B,0.0158
PC4,0.521,-0.739,-0.297,0.003,0.061,0.12,-0.055,0.158,0.139,0.169,T19PEP_20180304_B,0.0062
PC5,0.116,-0.095,0.034,-0.247,-0.24,-0.225,0.88,-0.181,-0.008,0.005,T19PEP_20180304_B,0.004
PC1,0.332,0.332,0.33,0.35,0.331,0.324,0.307,0.323,0.28,0.235,T19PEP_20190309,0.9845
PC2,0.49,0.327,0.114,-0.038,-0.124,-0.207,0.363,-0.293,-0.279,-0.534,T19PEP_20190309,0.0101
PC3,-0.29,-0.09,0.132,0.232,0.279,0.318,-0.188,0.332,-0.342,-0.629,T19PEP_20190309,0.0033
PC4,-0.518,0.316,0.72,-0.049,-0.087,-0.167,-0.041,-0.261,0.051,0.05,T19PEP_20190309,0.0012
PC5,-0.506,-0.061,-0.297,0.081,0.071,0.022,0.793,-0.066,0.063,-0.054,T19PEP_20190309,0.0003
PC1,0.256,0.276,0.287,0.335,0.331,0.332,0.329,0.33,0.349,0.324,T19PFP_20180304_C,0.9463
PC2,-0.32,-0.175,-0.215,0.179,0.302,0.364,0.334,0.281,-0.443,-0.423,T19PFP_20180304_C,0.046
PC3,0.631,0.406,0.111,0.004,-0.064,-0.119,0.243,-0.202,-0.333,-0.442,T19PFP_20180304_C,0.0053
PC4,-0.361,0.027,0.121,-0.166,-0.2,-0.254,0.794,-0.247,0.16,0.065,T19PFP_20180304_C,0.0012
PC5,0.461,-0.312,-0.705,-0.126,-0.048,0.024,0.284,0.058,0.035,0.298,T19PFP_20180304_C,0.0005
PC1,0.32,0.317,0.318,0.324,0.31,0.309,0.302,0.306,0.32,0.333,T19PFP_20190304,0.9594
PC2,0.56,0.396,0.099,-0.118,-0.185,-0.248,0.381,-0.309,-0.199,-0.361,T19PFP_20190304,0.0279
PC3,-0.548,0.315,0.744,-0.029,-0.039,-0.058,-0.04,-0.088,-0.125,-0.128,T19PFP_20190304,0.0066
PC4,-0.457,0.117,-0.31,-0.138,-0.098,-0.141,0.724,-0.078,0.096,0.305,T19PFP_20190304,0.0019
PC5,-0.2,-0.115,-0.166,0.355,0.344,0.323,0.308,0.12,-0.298,-0.61,T19PFP_20190304,0.0016
PC1,0.351,0.367,0.351,0.322,0.307,0.304,0.329,0.296,0.267,0.249,T19PFP_20190428_A,0.8387
PC2,0.496,0.401,0.097,-0.213,-0.262,-0.313,0.359,-0.343,-0.217,-0.281,T19PFP_20190428_A,0.1031
PC3,-0.556,0.291,0.739,-0.035,-0.042,-0.062,-0.12,-0.096,-0.11,-0.129,T19PFP_20190428_A,0.0356
PC4,-0.501,0.208,-0.385,0.026,0.136,0.164,0.64,0.111,-0.233,-0.187,T19PFP_20190428_A,0.0079
PC5,0.157,-0.66,0.334,0.257,0.2,0.098,0.264,-0.077,-0.23,-0.429,T19PFP_20190428_A,0.0055
PC1,0.375,0.372,0.352,0.322,0.299,0.291,0.332,0.28,0.273,0.237,T19PFP_20190428_B,0.8725
PC2,0.492,0.387,0.077,-0.227,-0.273,-0.318,0.354,-0.349,-0.235,-0.27,T19PFP_20190428_B,0.0826
PC3,-0.578,0.304,0.722,-0.035,-0.032,-0.054,-0.062,-0.097,-0.126,-0.133,T19PFP_20190428_B,0.0314
PC4,-0.45,0.61,-0.563,-0.078,0.015,0.073,0.276,0.119,-0.01,0.075,T19PFP_20190428_B,0.0042
PC5,-0.247,-0.428,-0.02,0.304,0.175,0.013,0.722,-0.179,-0.079,-0.268,T19PFP_20190428_B,0.0031
