C,MC,SCP_UID,date,B02,B03,B04
sg,sg,20200110_135053853156_962,20190108,0.0835,0.1068,0.0518
sg,sg,20200110_135053853156_962,20190108,0.0874,0.1142,0.0562
sg,sg,20200110_135053853156_962,20190108,0.0837,0.1082,0.053
sg,sg,20200110_135053853156_962,20190108,0.0932,0.1192,0.0606
sg,sg,20200110_135053853156_962,20190108,0.0892,0.1172,0.0589
sg,sg,20200110_135053853156_962,20190108,0.0852,0.1084,0.0521
sg,sg,20200110_135053853156_962,20190108,0.0892,0.1114,0.0551
sg,sg,20200110_135153280985_791,20190108,0.0913,0.1222,0.0773
sg,sg,20200110_135153280985_791,20190108,0.0914,0.1244,0.0778
sg,sg,20200110_135153280985_791,20190108,0.0903,0.121,0.0774
sg,sg,20200110_135153280985_791,20190108,0.09,0.1216,0.0747
sg,sg,20200110_135153280985_791,20190108,0.0891,0.1218,0.0756
sg,sg,20200110_135153280985_791,20190108,0.0918,0.1242,0.077
sg,sg,20200110_135153280985_791,20190108,0.0847,0.1158,0.0719
sg,sg,20200110_135153280985_791,20190108,0.0903,0.1222,0.0742
sg,sg,20200110_135234927079_808,20190108,0.0855,0.1038,0.0586
sg,sg,20200110_135234927079_808,20190108,0.0857,0.105,0.0559
sg,sg,20200110_135234927079_808,20190108,0.0814,0.1028,0.0549
sg,sg,20200110_135234927079_808,20190108,0.086,0.1066,0.0581
sg,sg,20200110_135234927079_808,20190108,0.0898,0.1108,0.0609
sg,sg,20200110_135234927079_808,20190108,0.0962,0.1136,0.0612
sg,sg,20200110_135234927079_808,20190108,0.0926,0.115,0.0604
sg,sg,20200110_135234927079_808,20190108,0.0916,0.1122,0.0594
sg,sg,20200110_135234927079_808,20190108,0.0974,0.1192,0.0657
sg,sg,20200110_135234927079_808,20190108,0.0919,0.114,0.061
sg,sg,20200110_135234927079_808,20190108,0.0959,0.1152,0.062
sg,sg,20200110_135234927079_808,20190108,0.0885,0.109,0.0562
sg,sg,20200110_135234927079_808,20190108,0.0938,0.1098,0.0565
sg,sg,20200110_135234927079_808,20190108,0.0982,0.114,0.0561
sg,sg,20200110_135234927079_808,20190108,0.0977,0.1178,0.0574
sg,sg,20200110_135712125398_905,20190108,0.0606,0.0681,0.0131
sg,sg,20200110_135712125398_905,20190108,0.0608,0.0699,0.0127
sg,sg,20200110_135712125398_905,20190108,0.0579,0.0677,0.0114
sg,sg,20200110_135712125398_905,20190108,0.0617,0.07,0.0142
sg,sg,20200110_135712125398_905,20190108,0.0646,0.0724,0.0121
sg,sg,20200110_135712125398_905,20190108,0.0673,0.0739,0.0125
sg,sg,20200110_135712125398_905,20190108,0.0598,0.0684,0.0128
sg,sg,20200110_135712125398_905,20190108,0.0614,0.0732,0.0138
sg,sg,20200110_135712125398_905,20190108,0.0636,0.0739,0.013
sg,sg,20200110_135712125398_905,20190108,0.0677,0.0767,0.0146
sg,sg,20200110_135712125398_905,20190108,0.0583,0.0687,0.0116
sg,sg,20200110_135712125398_905,20190108,0.0651,0.0702,0.0127
sg,sg,20200110_135712125398_905,20190108,0.0682,0.0787,0.0139
sg,sg,20200110_135712125398_905,20190108,0.0676,0.0774,0.0123
sg,sg,20200110_135712125398_905,20190108,0.0708,0.0818,0.0139
sg,sg,20200110_135712125398_905,20190108,0.0588,0.0689,0.0123
sg,sg,20200110_135712125398_905,20190108,0.0677,0.0749,0.0133
sg,sg,20200110_135712125398_905,20190108,0.0707,0.083,0.0122
sg,sg,20200110_135712125398_905,20190108,0.0589,0.0673,0.0129
sg,sg,20200110_135712125398_905,20190108,0.061,0.0733,0.0122
sg,sg,20200110_135712125398_905,20190108,0.0675,0.0772,0.0147
sg,sg,20200110_135712125398_905,20190108,0.0616,0.0714,0.0124
sg,sg,20200110_135712125398_905,20190108,0.0641,0.0732,0.0122
sg,sg,20200110_135712125398_905,20190108,0.0686,0.0777,0.0129
sg,sg,20200110_135712125398_905,20190108,0.0637,0.0771,0.0142
sg,sg,20200110_135712125398_905,20190108,0.0682,0.0827,0.0127
sg,sg,20200110_135738643647_682,20190108,0.098,0.0995,0.0127
sg,sg,20200110_135738643647_682,20190108,0.1082,0.1072,0.0112
sg,sg,20200110_135738643647_682,20190108,0.0991,0.1007,0.0144
sg,sg,20200110_135738643647_682,20190108,0.1184,0.1148,0.0136
sg,sg,20200110_135738643647_682,20190108,0.107,0.1088,0.0139
sg,sg,20200110_135901994270_216,20190108,0.0683,0.0942,0.0406
sg,sg,20200110_135901994270_216,20190108,0.0719,0.0943,0.0384
sg,sg,20200110_135901994270_216,20190108,0.07,0.0969,0.0408
sg,sg,20200110_135901994270_216,20190108,0.0741,0.1001,0.0416
sg,sg,20200110_135955720510_352,20190108,0.0469,0.0618,0.0138
sg,sg,20200110_135955720510_352,20190108,0.0476,0.0625,0.0146
sg,sg,20200110_135955720510_352,20190108,0.0479,0.0604,0.0147
sg,sg,20200110_135955720510_352,20190108,0.0445,0.0587,0.0153
sg,sg,20200110_135955720510_352,20190108,0.0469,0.0589,0.015
sg,sg,20200110_135955720510_352,20190108,0.0478,0.0608,0.0156
sg,sg,20200110_135955720510_352,20190108,0.0469,0.0597,0.0133
sg,sg,20200110_135955720510_352,20190108,0.0496,0.0613,0.0157
sg,sg,20200110_135955720510_352,20190108,0.049,0.0617,0.0152
sg,sg,20200110_135955720510_352,20190108,0.0479,0.0594,0.0149
sg,sg,20200110_140215011045_500,20190108,0.0792,0.1038,0.0294
sg,sg,20200110_140215011045_500,20190108,0.075,0.0999,0.0275
sg,sg,20200110_140215011045_500,20190108,0.0745,0.0996,0.0249
sg,sg,20200110_140215011045_500,20190108,0.077,0.1028,0.0298
sg,sg,20200110_140215011045_500,20190108,0.0746,0.0991,0.0265
sg,sg,20200110_140215011045_500,20190108,0.0749,0.1002,0.0231
sg,sg,20200110_140349196223_573,20190108,0.0669,0.0963,0.0535
sg,sg,20200110_140349196223_573,20190108,0.065,0.0962,0.0502
sg,sg,20200110_140349196223_573,20190108,0.0631,0.0921,0.048
sg,sg,20200110_140349196223_573,20190108,0.0579,0.0846,0.0427
sg,sg,20200110_140349196223_573,20190108,0.0692,0.0962,0.0541
sg,sg,20200110_140349196223_573,20190108,0.0667,0.0921,0.0495
sg,sg,20200110_140349196223_573,20190108,0.0631,0.0913,0.0491
sg,sg,20200110_140349196223_573,20190108,0.0587,0.0886,0.0479
sg,sg,20200110_140502435330_843,20190108,0.0394,0.0606,0.0376
sg,sg,20200110_140502435330_843,20190108,0.046,0.0665,0.0387
sg,sg,20200110_140502435330_843,20190108,0.0419,0.0612,0.0373
sg,sg,20200110_140502435330_843,20190108,0.0476,0.0669,0.0356
sg,sg,20200110_140502435330_843,20190108,0.0386,0.0622,0.0358
sg,sg,20200110_140502435330_843,20190108,0.0462,0.0639,0.0329
sg,sg,20200110_140502435330_843,20190108,0.0411,0.0642,0.0361
sg,sg,20200110_140502435330_843,20190108,0.0468,0.0678,0.0357
sg,sg,20200110_140532815775_841,20190108,0.052,0.0601,0.015
sg,sg,20200110_140532815775_841,20190108,0.0503,0.0592,0.0157
sg,sg,20200110_140532815775_841,20190108,0.0532,0.0589,0.0181
sg,sg,20200110_140532815775_841,20190108,0.0507,0.0579,0.0172
sg,sg,20200110_140532815775_841,20190108,0.0485,0.0563,0.0145
sg,sg,20200110_140532815775_841,20190108,0.0492,0.0577,0.0153
sg,sg,20200110_140647158568_764,20190108,0.1566,0.1948,0.092
sg,sg,20200110_140647158568_764,20190108,0.1388,0.1722,0.082
sg,sg,20200110_140647158568_764,20190108,0.1472,0.1802,0.083
sg,sg,20200110_140647158568_764,20190108,0.1538,0.1982,0.0926
sg,sg,20200110_140647158568_764,20190108,0.142,0.1804,0.0861
sg,sg,20200110_140647158568_764,20190108,0.1312,0.1724,0.0805
