C,MC,SCP_UID,date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,REP,FAI,GNDVI,NDVI-B8A,VB-FAH,SEI,SABI
Sf,S,20191002_145553059557_933,20190304,0.1047,0.0678,0.0813,0.0568,0.0843,0.0901,0.0973,0.1032,0.0897,0.0921,0.0586,0.048,0.29000002,703.545,0.046063405,0.118699215,0.22457337,0.036943004,0.27564898,0.31120056
Sf,S,20191002_145553059557_933,20190304,0.0953,0.0752,0.079,0.0538,0.0845,0.0887,0.0977,0.122,0.0874,0.0833,0.0565,0.047,0.38794085,703.2318,0.067695096,0.21393034,0.2379603,0.058472797,0.36694682,0.44228274
Sf,S,20191002_145553059557_933,20190304,0.1122,0.0708,0.0927,0.063,0.1059,0.1121,0.1252,0.1528,0.1125,0.1027,0.0597,0.0477,0.41612604,703.1055,0.090417095,0.2448065,0.28205127,0.07833579,0.43811765,0.54923546
Sf,S,20191002_145553059557_933,20190304,0.1018,0.0673,0.0742,0.0527,0.1044,0.1105,0.1262,0.1362,0.1084,0.0918,0.0571,0.0468,0.4420328,702.5651,0.08267719,0.2946768,0.34574798,0.075201,0.40920848,0.590106
Sf,S,20191002_145553059557_933,20190304,0.1084,0.0644,0.0781,0.0607,0.1158,0.1229,0.1385,0.1462,0.1183,0.1004,0.0577,0.0467,0.41324311,702.62463,0.086061,0.30361122,0.32178771,0.0787836,0.43403628,0.59999996
Sf,S,20191002_145553059557_933,20190304,0.1149,0.0596,0.0872,0.0659,0.1186,0.1259,0.1345,0.187,0.1171,0.1089,0.0584,0.0469,0.47884542,702.366,0.122502506,0.3639679,0.27978143,0.11287821,0.52404237,0.824932
Sf,S,20191002_150111079775_185,20190304,0.0936,0.0719,0.084,0.0765,0.1125,0.1273,0.1261,0.2104,0.1367,0.1691,0.0733,0.0547,0.46671316,703.3653,0.1344984,0.42934778,0.282364,0.13100499,0.48325703,0.8588839
Sf,S,20191002_150111079775_185,20190304,0.0877,0.0506,0.0778,0.0801,0.1093,0.1254,0.1388,0.1922,0.1362,0.1362,0.0673,0.0522,0.4116783,705.02234,0.11449361,0.4237037,0.25936198,0.11298781,0.48131025,0.873053
Sf,S,20191002_150111079775_185,20190304,0.0825,0.0568,0.083,0.0741,0.1033,0.1189,0.1366,0.1952,0.1295,0.1141,0.0625,0.0502,0.44968438,705.32294,0.12326919,0.40330696,0.27210215,0.1176646,0.51493984,0.86623746
Sf,S,20191002_150111079775_185,20190304,0.0781,0.0597,0.0746,0.063,0.0946,0.1077,0.1194,0.1658,0.1164,0.1029,0.059,0.0488,0.4493007,704.41174,0.103548005,0.3793677,0.2976589,0.09832241,0.47508898,0.7654505
Sf,S,20191002_150111079775_185,20190304,0.0955,0.0701,0.0799,0.0772,0.1161,0.1178,0.1229,0.1532,0.1308,0.171,0.073,0.0546,0.3298611,702.5983,0.0767854,0.31445733,0.25769225,0.0749578,0.3545535,0.5066666
Sf,S,20191002_150111079775_185,20190304,0.0899,0.0618,0.0721,0.0637,0.1023,0.106,0.1181,0.1136,0.1217,0.1384,0.0675,0.0523,0.2814439,703.0845,0.049189404,0.22347873,0.31283712,0.046657603,0.25455546,0.37266618
Sf,S,20191002_150111079775_185,20190304,0.0848,0.0613,0.0741,0.0667,0.0942,0.0975,0.1109,0.1334,0.113,0.1163,0.0632,0.0503,0.33333334,704.0141,0.0673545,0.28578308,0.25765166,0.06384359,0.35707018,0.49261445
Sf,S,20191002_150111079775_185,20190304,0.0802,0.0563,0.0763,0.0663,0.0919,0.0922,0.1015,0.1332,0.1047,0.1048,0.0598,0.0487,0.33533838,703.47906,0.06811551,0.27159902,0.22456141,0.06304,0.3803109,0.5045249
Sf,S,20191002_150204113198_371,20190304,0.1304,0.0651,0.1015,0.0928,0.187,0.2282,0.2526,0.3294,0.2683,0.2416,0.0922,0.0589,0.5603979,703.79456,0.2367122,0.528893,0.486015,0.2332418,0.56261855,1.4201683
Sf,S,20191002_150204113198_371,20190304,0.1225,0.062,0.0952,0.0872,0.1783,0.2293,0.2428,0.3132,0.2557,0.2074,0.0825,0.0545,0.5644356,703.858,0.2268789,0.5337904,0.4913969,0.222912,0.5830174,1.4376589
Sf,S,20191002_150204113198_371,20190304,0.1141,0.0632,0.0965,0.0835,0.1579,0.2005,0.2102,0.2824,0.2167,0.1799,0.0741,0.0513,0.54359114,703.9209,0.20065781,0.49063075,0.44370425,0.193882,0.5842917,1.2454603
Sf,S,20191002_150232257618_198,20190304,0.1336,0.0717,0.0752,0.0547,0.0926,0.0991,0.1136,0.117,0.1088,0.1471,0.0667,0.0512,0.36284217,703.4572,0.060056,0.21748178,0.33088687,0.054387,0.27381602,0.42409804
